id,sale_date,sale_price,sale_nbr,sale_warning,join_status,join_year,latitude,longitude,area,city,zoning,subdivision,present_use,land_val,imp_val,year_built,year_reno,sqft_lot,sqft,sqft_1,sqft_fbsmt,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_lakesamm,view_otherwater,view_other,submarket
119737,2009-08-15,254920,,   ,nochg,2025,47.4747,-122.3211,96,BURIEN,PR,,2,319000,270000,1962,0,20737,1560,1100,460,7,6,3,1.0,4,1,1,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G
72272,2000-07-15,400000,1.0,   ,nochg,2025,47.6682,-122.1841,93,KIRKLAND,RS 8.5,LAKE VIEW PARK,2,785000,627000,1996,0,4799,2940,1710,1230,9,8,3,1.0,3,2,0,1,0,470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Q
158154,2016-11-15,1125000,5.0,   ,rebuilt - after,2025,47.6276,-122.321,13,SEATTLE,LR1 (M),YESLERS SARAH B 1ST ADD,29,519000,818000,2019,0,1500,1590,680,230,10,10,3,2.0,3,1,1,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
65426,2006-01-15,360000,2.0,   ,nochg,2025,47.4966,-121.7804,80,NORTH BEND,LDR,MT. SI MEADOWS,2,297000,362000,1989,0,9645,1340,810,0,7,0,3,2.0,3,1,1,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
30074,2022-06-15,861000,3.0,   ,nochg,2025,47.605,-122.2975,15,SEATTLE,RSL (M),YESLER ESTATE ADD,2,571000,29000,1948,0,4000,710,710,0,6,0,4,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
23677,2021-05-15,1750000,4.0,   ,nochg,2025,47.6178,-122.2844,14,SEATTLE,NR2,DENNY BLAINE LAKE PARK,2,1244000,318000,1930,0,4190,2090,800,600,8,7,5,1.5,3,1,1,2,200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,D
134858,2016-06-15,349900,4.0,   ,nochg,2025,47.276,-122.2947,55,KING COUNTY,R4,SOUTHERN ROSE,2,165000,430000,1996,0,6419,2270,1280,0,7,0,3,2.0,4,2,0,1,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I
176418,2001-11-15,241500,1.0,   ,nochg,2025,47.3502,-122.0301,56,MAPLE VALLEY,R-6,ROSEWOOD PARKE,2,375000,335000,1992,0,6000,1850,1170,0,7,0,5,2.0,4,2,0,1,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
132467,2020-02-15,1080000,2.0,   ,nochg,2025,47.7527,-122.2289,37,KENMORE,R4,LAKEWOOD GARDEN TRS,2,1107000,249000,1977,0,18893,1590,1590,0,7,0,3,1.0,2,1,1,1,0,440,9,0,0,0,0,0,0,0,0,0,0,0,4,0,Q
4082,2022-05-15,455000,4.0,   ,miss99,2025,47.3887,-122.2356,61,KENT,SR-8,NORTH PARK ADD TO KENT,2,0,0,1942,0,5080,720,720,0,5,0,4,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
